#α δ d label palette
97.51 23.26 0.00001581 "Sol" 0
217.4289522 -62.67948975 4.244 "Proxima Centauri" 1
219.9145583 -60.8339 4.37 "Rigil Kentaurus" 0
220.4804815 -60.83752756 4.37 "Toliman" 1
269.4520833 4.693 5.9577 "Barnard's Star" 1
162.314875 -53.3183 6.5029 "Luhman 16" 5
133.795125 -7.245138 7.26 "WISE 0855-0714" 3
164.1216 7.01472 7.856 "Wolf 359" 1
166.3583 35.97 8.307 "Lalande 21185" 1
101.2870833 -16.71611111 8.659 "Sirius" 4
24.75541667 -17.95027778 8.791 "Luyten 726-8" 1
282.4558333 -23.8361 9.7035 "Ross 154" 1
355.4779167 44.175 10.2903 "Ross 248" 1
53.02416 -9.4583 10.446 "Epsilon Eridani" 1
346.46 -35.85305556 10.7211 "Lacaille 9352" 1
176.935 0.804 11.0074 "Ross 128" 1
339.51411667 -15.29916667 11.109 "EZ Aquarii" 1
316.7245833 38.7944444 11.4008 "61 Cygni A" 1
316.7304167 38.74194444 11.4008 "61 Cygni B" 1
114.8254979 5.224987556 11.46 "Procyon" 2
281.725 59.63027778 11.48800 "Struve 2398" 1
4.595416667 44.02305 11.6182 "Groombridge 34" 1
127.45625 26.77694444 11.6780 "DX Cancri" 1
330.8404167 56.7861 11.869 "Epsilon Indi A" 1
#Todo: Epsilon Indi Ba/Bb. Brown dwarf
26.01701408 -15.9374795 11.905 "Tau Ceti" 0
53.99875 -44.5125 11.9803 "GJ 1061" 1
